"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Description 2","Meta Description 2 Length","Meta Description 2 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (Bytes)","Transferred (Bytes)","Total Transferred (Bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://wojewodastudio.pl/","text/html; charset=UTF-8","200","OK","Indexable","","Krystian Wojewoda Hair Design – Najlepszy fryzjer w Łodzi","57","522","Najlepszy fryzjer w Łodzi","25","153","Najlepszy fryzjer w Łodzi i okolicach ♛ W salonie Wojewoda Studio pracujemy na najlepszych kosmetykach: Kevin Murphy, Alterna, Nashi Argan, Davines.","148","936","","0","730 796 861","11","Krystian Wojewoda Hair Design – Najlepszy fryzjer w Łodzi","57","otwarte","7","jak dojechać","12","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://wojewodastudio.pl/","","","","","","48822","11870","11870","1,759","","210","48","4,375","39,640","Hard","3,439","0","0","","22","20","0","100,000","22","12","0","2","2","0","","","","","a03012ce4b86bc83c1eb18bd5bc4433c","0,351","","","","","pl-PL","1.1","","","","","","https://wojewodastudio.pl/","2026-07-18 19:35:33"
"https://wojewodastudio.pl/kosmetyki-do-pielegnacji-zniszczonych-wlosow-lista-must-have/","text/html; charset=UTF-8","200","OK","Indexable","","Kosmetyki do pielęgnacji zniszczonych włosów – lista must have - Krystian Wojewoda Hair Design","94","872","Najlepszy fryzjer w Łodzi","25","153","","0","0","","0","Kosmetyki do pielęgnacji zniszczonych włosów – lista must have","62","","0","Zanim o tym, jak odbudować zniszczone włosy…","44","Postrzępione włosy suche i zniszczone – regeneracja czas start!","63","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://wojewodastudio.pl/kosmetyki-do-pielegnacji-zniszczonych-wlosow-lista-must-have/","","","","","","52570","14767","14767","2,188","","1222","182","6,714","23,758","Very Hard","17,872","1","1","","10","5","0","25,000","16","11","0","1","1","0","","","","","6974d22f0289802f187eacb1f1b0c22d","0,274","","","","","pl-PL","1.1","","","","","","https://wojewodastudio.pl/kosmetyki-do-pielegnacji-zniszczonych-wlosow-lista-must-have/","2026-07-18 19:35:34"
"https://wojewodastudio.pl/jaka-fryzura-pasuje-do-mojej-twarzy/","text/html; charset=UTF-8","200","OK","Indexable","","Jaka fryzura pasuje do mojej twarzy? - Krystian Wojewoda Hair Design","68","624","Najlepszy fryzjer w Łodzi","25","153","","0","0","","0","Jaka fryzura pasuje do mojej twarzy?","36","","0","","0","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://wojewodastudio.pl/jaka-fryzura-pasuje-do-mojej-twarzy/","","","","","","48584","13443","13443","1,992","","994","160","6,213","41,798","Hard","14,904","1","1","","10","5","0","25,000","16","11","0","1","1","0","","","","","f66180cde94a800d3d86f567c47a018","0,391","","","","","pl-PL","1.1","","","","","","https://wojewodastudio.pl/jaka-fryzura-pasuje-do-mojej-twarzy/","2026-07-18 19:35:34"
"https://wojewodastudio.pl/polityka-prywatnosci/","text/html; charset=UTF-8","200","OK","Indexable","","Polityka prywatności - Krystian Wojewoda Hair Design","52","478","Najlepszy fryzjer w Łodzi","25","153","","0","0","","0","Polityka prywatności","20","","0","","0","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://wojewodastudio.pl/polityka-prywatnosci/","","","","","","45272","12153","12153","1,801","","829","169","4,905","2,347","Very Hard","15,184","1","1","","21","20","0","100,000","23","9","0","1","1","0","","","","","e04ee74fd77cff17325232772f26b765","0,310","","","","","pl-PL","1.1","","","","","","https://wojewodastudio.pl/polityka-prywatnosci/","2026-07-18 19:35:34"
"https://wojewodastudio.pl/regulamin-salonu/","text/html; charset=UTF-8","200","OK","Indexable","","Regulamin salonu - Krystian Wojewoda Hair Design","48","454","Najlepszy fryzjer w Łodzi","25","153","","0","0","","0","Regulamin salonu","16","","0","1.REZERWACJA TERMINU PRZEZ PORTAL BOOKSY","40","2.rezerwacja terminu telefonicznie przez nowych klientów","56","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://wojewodastudio.pl/regulamin-salonu/","","","","","","41811","11068","11068","1,640","","442","88","5,023","15,119","Very Hard","8,527","1","1","","29","20","0","100,000","21","8","0","1","1","0","","","","","d8a834210ca95c43a53f96abf03424","0,322","","","","","pl-PL","1.1","","","","","","https://wojewodastudio.pl/regulamin-salonu/","2026-07-18 19:35:34"
"https://wojewodastudio.pl/kategorie/trendy/","text/html; charset=UTF-8","200","OK","Indexable","","Archiwa Trendy - Krystian Wojewoda Hair Design","46","433","Najlepszy fryzjer w Łodzi","25","153","","0","0","","0","Kosmetyki do pielęgnacji zniszczonych włosów – lista must have","62","Jak dbać o skórę głowy","22","","0","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://wojewodastudio.pl/kategorie/trendy/","","","","","","40695","10371","10371","1,537","","206","39","5,282","49,522","Hard","4,003","1","2","","17","6","0","30,000","25","12","0","1","1","0","","","","","7a4a9dc4c28d16bb09cd65f767c54cac","0,371","","","","","pl-PL","1.1","","","","","","https://wojewodastudio.pl/kategorie/trendy/","2026-07-18 19:35:34"
"https://wojewodastudio.pl/cennik/","text/html; charset=UTF-8","200","OK","Indexable","","Cennik usług fryzjerskich - Krystian Wojewoda Hair Design","57","516","Najlepszy fryzjer w Łodzi","25","153","Najlepszy fryzjer w Łodzi i okolicach ♛ Poznaj ceny usług fryzjerskich w salonie Wojewoda Studio: farbowanie, strzyżenie, modelowanie,balayage.","143","891","","0","Cennik usług fryzjerskich – Wojewoda Studio","43","","0","regulamin","9","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://wojewodastudio.pl/cennik/","","","","","","48000","11231","11231","1,664","","479","104","4,606","72,523","Fairly Easy","7,452","1","1","","41","20","0","100,000","13","8","0","1","1","0","","","","","645c1ef9bb50dd0b7d36a0bef268a47a","0,467","","","","","pl-PL","1.1","","","","","","https://wojewodastudio.pl/cennik/","2026-07-18 19:35:34"
"https://wojewodastudio.pl/zespol","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0,000","","0","","","","","0,000","1","0","","40","20","0","100,000","0","0","0","0","0","0","","","","","","0,148","","https://wojewodastudio.pl/zespol/","HTTP Redirect","","","1.1","","","","","","https://wojewodastudio.pl/zespol","2026-07-18 19:35:35"
"https://wojewodastudio.pl/koszyk/","text/html; charset=UTF-8","200","OK","Non-Indexable","noindex","Koszyk - Krystian Wojewoda Hair Design","38","358","Najlepszy fryzjer w Łodzi","25","153","","0","0","","0","Koszyk","6","","0","","0","","0","noindex, follow","","","https://wojewodastudio.pl/koszyk/","","","","","","41978","10658","10658","1,580","","21","7","3,000","99,047","Very Easy","0,810","1","1","","22","20","0","100,000","15","8","0","1","1","0","","","","","e0d1872f07e3541f4edd7963672a17ee","0,376","","","","","pl-PL","1.1","","","","","","https://wojewodastudio.pl/koszyk/","2026-07-18 19:35:35"
"https://wojewodastudio.pl/blog/","text/html; charset=UTF-8","200","OK","Indexable","","Blog - Krystian Wojewoda Hair Design","36","334","Najlepszy fryzjer w Łodzi","25","153","","0","0","","0","Kosmetyki do pielęgnacji zniszczonych włosów – lista must have","62","Jak dbać o skórę głowy","22","","0","","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","https://wojewodastudio.pl/blog/","","","","","","40233","10377","10377","1,538","","210","41","5,122","50,565","Fairly Hard","4,101","1","1","","41","20","0","100,000","26","12","0","1","1","0","","","","","680acdf45ceee359c38655fa57463352","0,336","","","","","pl-PL","1.1","","","","","","https://wojewodastudio.pl/blog/","2026-07-18 19:35:35"
