"Address","Occurrences","Title 1","Title 1 Length","Title 1 Pixel Width","Indexability","Indexability Status"
"https://wojewodastudio.pl/","1","Krystian Wojewoda Hair Design – Najlepszy fryzjer w Łodzi","57","522","Indexable",""
"https://wojewodastudio.pl/kosmetyki-do-pielegnacji-zniszczonych-wlosow-lista-must-have/","1","Kosmetyki do pielęgnacji zniszczonych włosów – lista must have - Krystian Wojewoda Hair Design","94","872","Indexable",""
"https://wojewodastudio.pl/jaka-fryzura-pasuje-do-mojej-twarzy/","1","Jaka fryzura pasuje do mojej twarzy? - Krystian Wojewoda Hair Design","68","624","Indexable",""
"https://wojewodastudio.pl/polityka-prywatnosci/","1","Polityka prywatności - Krystian Wojewoda Hair Design","52","478","Indexable",""
"https://wojewodastudio.pl/regulamin-salonu/","1","Regulamin salonu - Krystian Wojewoda Hair Design","48","454","Indexable",""
"https://wojewodastudio.pl/kategorie/trendy/","1","Archiwa Trendy - Krystian Wojewoda Hair Design","46","433","Indexable",""
"https://wojewodastudio.pl/cennik/","1","Cennik usług fryzjerskich - Krystian Wojewoda Hair Design","57","516","Indexable",""
"https://wojewodastudio.pl/koszyk/","1","Koszyk - Krystian Wojewoda Hair Design","38","358","Non-Indexable","noindex"
"https://wojewodastudio.pl/blog/","1","Blog - Krystian Wojewoda Hair Design","36","334","Indexable",""
"https://wojewodastudio.pl/jak-dbac-o-skore-glowy/","1","Jak dbać o skórę głowy - Krystian Wojewoda Hair Design","54","501","Indexable",""
"https://wojewodastudio.pl/zespol/","1","Zespół - Krystian Wojewoda Hair Design","38","355","Indexable",""
"https://wojewodastudio.pl/zespol/julia/","1","Julia - Krystian Wojewoda Hair Design","37","338","Indexable",""
"https://wojewodastudio.pl/zespol/aneta/","1","Aneta - Krystian Wojewoda Hair Design","37","348","Indexable",""
"https://wojewodastudio.pl/zespol/mariola-snieg/","1","Fryzjer Mariola Śnieg - Krystian Wojewoda Hair Design","53","482","Indexable",""
"https://wojewodastudio.pl/zespol/monika/","1","Monika - Krystian Wojewoda Hair Design","38","360","Indexable",""
"https://wojewodastudio.pl/zespol/romina/","1","Romina - Krystian Wojewoda Hair Design","38","363","Indexable",""
"https://wojewodastudio.pl/zespol/marta/","1","Marta - Krystian Wojewoda Hair Design","37","348","Indexable",""
"https://wojewodastudio.pl/zespol/krystian-wojewoda/","1","Fryzjer Krystian Wojewoda - Krystian Wojewoda Hair Design","57","531","Indexable",""
"https://wojewodastudio.pl/zespol/danuta/","1","Danuta - Krystian Wojewoda Hair Design","38","359","Indexable",""
"https://wojewodastudio.pl/zespol/ania/","1","Ania - Krystian Wojewoda Hair Design","36","335","Indexable",""
