"Address","Errors","Warnings","Rich Result Errors","Rich Result Warnings","Rich Result Features","Feature-1","Total Types","Unique Types","Type-1","Indexability","Indexability Status"
"https://wojewodastudio.pl/","0","0","0","0","0","","0","0","","Indexable",""
"https://wojewodastudio.pl/kosmetyki-do-pielegnacji-zniszczonych-wlosow-lista-must-have/","0","0","0","0","0","","0","0","","Indexable",""
"https://wojewodastudio.pl/jaka-fryzura-pasuje-do-mojej-twarzy/","0","0","0","0","0","","0","0","","Indexable",""
"https://wojewodastudio.pl/polityka-prywatnosci/","0","0","0","0","0","","0","0","","Indexable",""
"https://wojewodastudio.pl/regulamin-salonu/","0","0","0","0","0","","0","0","","Indexable",""
"https://wojewodastudio.pl/kategorie/trendy/","0","0","0","0","0","","0","0","","Indexable",""
"https://wojewodastudio.pl/cennik/","0","0","0","0","0","","0","0","","Indexable",""
"https://wojewodastudio.pl/koszyk/","0","0","0","0","0","","0","0","","Non-Indexable","noindex"
"https://wojewodastudio.pl/blog/","0","0","0","0","0","","0","0","","Indexable",""
"https://wojewodastudio.pl/jak-dbac-o-skore-glowy/","0","0","0","0","0","","0","0","","Indexable",""
"https://wojewodastudio.pl/zespol/","0","0","0","0","0","","0","0","","Indexable",""
"https://wojewodastudio.pl/zespol/julia/","0","0","0","0","0","","0","0","","Indexable",""
"https://wojewodastudio.pl/zespol/aneta/","0","0","0","0","0","","0","0","","Indexable",""
"https://wojewodastudio.pl/zespol/mariola-snieg/","0","0","0","0","0","","0","0","","Indexable",""
"https://wojewodastudio.pl/zespol/monika/","0","0","0","0","0","","0","0","","Indexable",""
"https://wojewodastudio.pl/zespol/romina/","0","0","0","0","0","","0","0","","Indexable",""
"https://wojewodastudio.pl/zespol/marta/","0","0","0","0","0","","0","0","","Indexable",""
"https://wojewodastudio.pl/zespol/krystian-wojewoda/","0","0","0","0","0","","0","0","","Indexable",""
"https://wojewodastudio.pl/zespol/danuta/","0","0","0","0","0","","0","0","","Indexable",""
"https://wojewodastudio.pl/zespol/ania/","0","0","0","0","0","","0","0","","Indexable",""
